0.081892,0.620727,0.094167,
0.123991,0.620992,0.143667,
0.159170,0.587726,0.181000,
0.193772,0.569636,0.217000,
0.230104,0.553710,0.254333,
0.265283,0.542683,0.291500,
0.292964,0.525796,0.322000,
0.328539,0.529896,0.369000,
0.361910,0.523067,0.401833,
0.384350,0.503821,0.428000,
0.413694,0.496805,0.458500,
0.451448,0.496757,0.499167,
0.470187,0.480032,0.516667,
0.491198,0.468673,0.533667,
0.518455,0.464318,0.559167,
0.534473,0.447710,0.575333,
0.554416,0.437821,0.591667,
0.579718,0.435543,0.604833,
0.593803,0.424497,0.617167,
