0.970000,0.043982,0.970000,
0.976378,0.057613,0.970000,
0.956757,0.080279,0.956667,
0.932489,0.100488,0.935000,
0.921429,0.118738,0.933500,
0.864780,0.125815,0.886500,
0.861111,0.138428,0.881000,
0.833333,0.160470,0.866738,
0.772059,0.143297,0.826718,
0.805195,0.168083,0.828774,
0.761905,0.190344,0.808418,
0.754870,0.211380,0.779720,
0.785603,0.226100,0.838860,
0.751389,0.249856,0.798877,
0.693852,0.257422,0.761200,
0.694340,0.252642,0.784792,
0.710744,0.273755,0.754934,
0.669441,0.254939,0.783606,
0.730141,0.306701,0.788844,
