0.349265,0.380000,0.420917,
0.393135,0.409754,0.456083,
0.420137,0.423837,0.484083,
0.436613,0.422356,0.502667,
0.458917,0.425365,0.511917,
0.494398,0.451022,0.545000,
0.502801,0.449680,0.544667,
0.517642,0.450834,0.575917,
0.534819,0.467701,0.593750,
0.524141,0.448078,0.586083,
0.545659,0.488606,0.597500,
0.536662,0.475360,0.582250,
0.551507,0.489424,0.603500,
0.528889,0.464679,0.583083,
0.541778,0.470140,0.596667,
0.544212,0.453544,0.582000,
0.568368,0.472406,0.619417,
0.563917,0.470529,0.609833,
0.556664,0.459198,0.608667,
